step,t,crashed,actrState,lC,x,v,a,k_chosen,focusVehicle,lane,_da,__da
0,0,false,1,false,0,24,0,1,1,1,0,2
1,1,false,2,false,24,24,0,1,1,1,0,2
2,1,false,1,false,24,24,0,1,1,1,0,2
3,2,false,2,false,48,24,0,1,1,1,0,2
4,2,false,1,true,48,24,0,1,1,1,0,2
5,8,false,2,false,209,27,0,1,1,2,0,2
6,8,false,1,true,209,27,0,1,1,2,0,2
7,12,false,2,false,297,27,0,3,2,1,0,2
8,12,false,1,false,297,27,0,3,2,1,0,2
9,13,false,2,false,324,27,3,3,2,1,0,2
10,13,false,1,false,324,27,3,3,2,1,0,2
11,14,false,2,false,351,30,2,3,2,1,0,2
12,14,false,1,false,351,30,2,3,2,1,0,2
13,15,false,2,false,381,32,2,3,2,1,0,2
14,15,false,1,false,381,32,2,3,2,1,0,2
15,16,false,2,false,400,32,2,3,2,1,0,2
